足	Pictograph of a foot attached to a leg.	[{"char":"◎","type":"iconic","notes":"Depicts a leg.","pinyin":"xx","definition":"characterless component"},{"char":"龰","type":"iconic","notes":"龰 is a component form of 止.","pinyin":"zhǐ","definition":"(foot); stop"}]
糸	Pictograph of twisted silk threads.	[]
能	Pictograph of a bear holding meat in its mouth. Based on the original meaning "bear". The meaning of this character has shifted over time and now means "ability; power".	[{"char":"◎","type":"iconic","notes":"Depicts the head of the bear.","pinyin":"xx","definition":"characterless component"},{"char":"⺼","type":"iconic","notes":"⺼ is a component form of 肉.","pinyin":"ròu","definition":"meat; flesh"},{"char":"◎","type":"iconic","notes":"Depicts the four legs and tail of the bear.","pinyin":"xx","definition":"characterless component"}]
熊	Pictograph of a bear holding meat in its mouth. Based on 能, with four dots added at the bottom to differentiate it, representing four legs.	[{"char":"能","type":"iconic","notes":"Here used as a pictograph of a bear.","pinyin":"néng","definition":"can; able"},{"char":"灬","type":"iconic","notes":"灬 is a component form of 火. Here used to represent four legs.","pinyin":"huǒ","definition":"fire"}]
四	In ancient texts the character 亖 (four horizontal strokes) was used. The origin of the current form is unclear.	[]
亖	Four horizontal strokes, representing the number four.	[]
五	Origin unclear. Originally an X between two lines.	[]
六	Originally a pictograph of a tent or building. Unrelated to modern meaning.	[]
七	Originally resembled a cross, depicting the meaning "to cut", since 七 sounds like 切 (qiē; to cut).	[]
切	Phonosemantic compound. 刀 represents the meaning and 七 represents the sound.	[{"char":"刀","type":"meaning","pinyin":"dāo","definition":"knife"},{"char":"七","type":"sound","pinyin":"qī","definition":"seven"}]
九	Origin unclear. There are varied explanations of what 九 is meant to represent, including a hook, an elbow, and a hand reaching out to grab something.	[]
囧	Originally a pictograph of a window. Nowadays sometimes used as a sad-face emoticon.	[]
明	The character was originally a pictograph of the moon (月) shining through a window (囧). Traditionally (but incorrectly) explained that the sun (日) and moon (月) together are bright (明).	[{"char":"囧","type":"iconic","notes":"The modern form looks similar to 日 (sun).","pinyin":"jiǒng","definition":"window"},{"char":"月","type":"iconic","pinyin":"yuè","definition":"moon"}]
