钦	qīn; Qīn	to respect, to admire	to respect; to admire; to venerate; by the emperor himself; surname Qin
款	kuǎn	section, paragraph, funds	section; paragraph; funds; CL:筆|笔[bǐ],個|个[gè]; classifier for versions or models (of a product)
欿	kǎn	discontented with oneself	discontented with oneself
歁	kǎn	unsatisfied	unsatisfied (of eating)
歃	shà	to drink	to drink
歆	xīn	pleased, moved	pleased; moved
歇	xiē	to rest, to stop, to halt	to rest; to take a break; to stop; to halt; (dialect) to sleep; a moment; a short while
歈	yú	songs	songs
歉	qiàn	to apologize, to regret	to apologize; to regret; deficient
歊	xiāo	vapor, steam	vapor; steam
歌	gē	to sing, song	song; CL:支[zhī],首[shǒu]; to sing; variant of 歌[gē]
欧	ōu; Oū	Europe	(used for transliteration); old variant of 謳|讴[ōu]; Europe; abbr. for 歐洲|欧洲[Oū​zhōu]; surname Ou
歓	huān	old variant of 歡|欢	old variant of 歡|欢[huān]
歔	xū	to snort	to snort
歕	pēn	old variant of 噴|喷	old variant of 噴|喷[pēn]
歗	xiào	old variant of 嘯|啸	old variant of 嘯|啸[xiào]
歘	xū	variant of 欻	variant of 欻[xū]
歙	shè	name of a district in Anhui	name of a district in Anhui
歛	hān; liǎn	to desire, to give	to desire; to give; variant of 斂|敛[liǎn]
歜	chù	angry	(person); angry
欤	yú	literary final particle	(literary) (final particle similar to 吗[ma], 呢[ne] or 啊[ā])
歠	chuò	to sip, gruel, soup	(literary) to drink; to sip; gruel; soup
止	zhǐ	to stop, to prohibit, until	to stop; to prohibit; until; only
正	zhèng; zhēng	straight, to correct, upright	straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive; first month of the lunar year
此	cǐ	this, these	this; these
步	bù; Bù	a step, walk, a pace, march	a step; a pace; walk; march; stages in a process; situation; surname Bu
武	wǔ; Wǔ	martial, military	martial; military; surname Wu
歧	qí	divergent, side road	divergent; side road
歨	bù	old variant of 步	old variant of 步[bù]
歩	bù	old variant of 步	old variant of 步[bù]
歪	wāi; wǎi	askew, devious, noxious	askew; at a crooked angle; devious; noxious; (coll.) to lie on one's side; to sprain (one's ankle) (Tw)
歫	jù	old variant of 距	old variant of 距[jù]; old variant of 拒[jù]
歮	sè	archaic variant of 澀|涩	archaic variant of 澀|涩[sè]
歯	chǐ	Japanese variant of 齒|齿	Japanese variant of 齒|齿
歰	sè	archaic variant of 澀|涩	archaic variant of 澀|涩[sè]
歳	suì	Japanese variant of 歲|岁	Japanese variant of 歲|岁
归	guī; Guī	to return, to go back to	to return; to go back to; to give back to; (of a responsibility) to be taken care of by; to belong to; to gather together; (used between two identical verbs) despite; to marry (of a woman) (old)...
歹	dǎi	bad, wicked, evil	bad; wicked; evil
歺	cān; dǎi	second-round simplified	second-round simplified character for 餐[cān]; old variant of 歹[dǎi]
死	sǐ	to die, impassable	to die; impassable; uncrossable; inflexible; rigid; extremely; damned
歾	mò	to end, to die	to end; to die
殁	mò	to end, to die	to end; to die
殂	cú	to die	to die
殃	yāng	calamity	calamity
殄	tiǎn	to exterminate	to exterminate
殆	dài	to endanger, dangerous	dangerous; perilous; to endanger; almost; probably; only
殈	xù	damage egg so it does not	damage egg so it does not hatch
殉	xùn	to be buried with the dead	to be buried with the dead; to die for a cause
殊	shū	to die, different, unique	different; unique; special; very; (classical) to behead; to die; to cut off; to separate; to surpass
殍	piǎo	die of starvation	die of starvation
殑	qíng	swoon	swoon
殖	zhí	to grow, to reproduce	to grow; to reproduce
殗	yè	sickness, repeated	sickness; repeated
残	cán	to destroy, to spoil, to ruin	to destroy; to spoil; to ruin; to injure; cruel; oppressive; savage; brutal; incomplete; disabled; to remain; to survive; remnant; surplus
殙	hūn	to die by taking poison	to die by taking poison
殛	jí	to put to death	to put to death
殜	dié	weak	weak (from illness); half-sitting, half-reclining (meaning unclear)
殒	yǔn	to perish, to die	to perish; to die
殠	chòu	variant of 臭	variant of 臭[chòu]
𣨼	tì	fatigue	fatigue
殣	jìn	die of hunger	die of hunger
殇	shāng	to die in childhood, war dead	to die in childhood; war dead
殥	yín	remote, outlying	remote; outlying
㱮	kuì	to fester, to ulcerate	old variant of 潰|溃[kuì]; to fester; to ulcerate
殪	yì	to exterminate	to exterminate
殚	dān	to exhaust, entirely	entirely; to exhaust
殓	liàn	to prepare a dead body for	to prepare a dead body for coffin
殡	bìn	to encoffin a corpse	a funeral; to encoffin a corpse; to carry to burial
㱩	dú	abortion, stillborn	abortion; stillborn
歼	jiān	to annihilate	to annihilate; abbr. for 殲擊機|歼击机, fighter plane
殳	shū; Shū	bamboo or wooden spear	bamboo or wooden spear; Kangxi radical 79, occurring in 段, 毅, 殺 etc; surname Shu
段	duàn; Duàn	paragraph, section, segment	paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc; surname Duan
殷	yīn; Yīn; yān; yǐn	flourishing, abundant, earnest	flourishing; abundant; earnest; hospitable; surname Yin; dynasty name at the end the Shang dynasty, after their move to Yinxu 殷墟 in modern Henan province; dark red; roll of thunder
殸	qìng	variant of 磬	variant of 磬[qìng]
殹	yì	archaic meaning unclear	(archaic) (meaning unclear); (final particle)
杀	shā	to kill, to murder, to attack	to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely
殻	qiào	variant of 殼|壳	variant of 殼|壳[qiào]
壳	qiào	shell, carapace, crust	shell; carapace; crust (earth's crust etc); also pr. [ké]
淆	xiáo	mixed, confused and disorderly	confused and disorderly; mixed; Taiwan pr. [yáo]; variant of 淆[xiáo]
肴	yáo	meat dishes, mixed viands	meat dishes; mixed viands; variant of 肴[yáo]
殿	diàn	palace hall	palace hall
毁	huǐ	to destroy, to damage, to ruin	to destroy; to damage; to ruin; to defame; to slander; variant of 毀|毁[huǐ]; to destroy by fire; a blaze
毅	yì	staunch, firm and resolute	firm and resolute; staunch
殴	ōu; Oū	to beat up, to hit sb	to beat up; to hit sb; surname Ou
毈	duàn	infertile egg	infertile egg
毉	yī	variant of 醫|医	variant of 醫|医[yī]
毋	wú; Wú	to not have, don't, nobody	(literary) no; don't; to not have; nobody; surname Wu
毌	guàn	archaic variant of 貫|贯	archaic variant of 貫|贯[guàn]
母	mǔ	mother, origin, source, female	mother; elderly female relative; origin; source; (of animals) female
毎	měi	Japanese variant of 每	Japanese variant of 每
每	měi	each, every	each; every
毐	Aǐ	immoral, adulterer	see historical character Lao Ai 嫪毐; by extension, person of reprehensible morals; immoral; adulterer
毑	jiě	mother	mother
毒	dú	to poison, poison, poisonous	poison; to poison; poisonous; malicious; cruel; fierce; narcotics
毓	yù	to rear	(archaic) to give birth to a child; to rear
比	bǐ; Bǐ; bì; bī	to compare, to contrast	(particle used for comparison and "-er than"); to compare; to contrast; to gesture (with hands); ratio; Belgium; Belgian; abbr. for 比利時|比利时[Bǐ​lì​shí]; to associate with; to be near; euphemistic variant of 屄[bī]
毖	bì	to prevent, careful	careful; to prevent
毗	pí	to adjoin, to border on	to adjoin; to border on; variant of 毗[pí]
毚	chán	cunning, artful	cunning; artful
毛	máo; Máo	hair, feather, down, wool	hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate...
毧	róng	down, felt	down; felt
毫	háo	hair, least, drawing brush	hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan
毬	qiú	ball	ball
毯	tǎn	blanket, rug	blanket; rug
毳	cuì	crisp, brittle	crisp; brittle; fine animal hair
毴	bī	old variant of 屄	old variant of 屄[bī]
毷	mào	restless	restless
毹	shū	rug	rug
毽	jiàn	shuttlecock	shuttlecock
毾	tà	a coarse, woollen serge	a coarse, woollen serge
毵	sān	shaggy, long-haired	long-haired; shaggy
牦	máo	yak	yak (Bos grunniens)
氄	rǒng	down or fine hair	down or fine hair
氅	chǎng	overcoat	overcoat
氆	pǔ	thick rough serge from Tibet	thick rough serge from Tibet
毡	zhān	felt	felt (fabric); variant of 氈|毡[zhān]
氉	sào	restless, melancholy	restless, melancholy
氇	lǔ	thick rough serge from Tibet	thick rough serge from Tibet
氍	qú	woolen rug	woolen rug
氏	shì; zhī	clan name, maiden name	clan name; maiden name; see 月氏[Yuè​zhī] and 閼氏|阏氏[yān​zhī]
氐	dǐ; Dī	foundation, on the whole	foundation; on the whole; name of an ancient tribe
民	mín; Mín	nationality, the people	the people; nationality; citizen; surname Min
氓	máng; méng	common people	see 流氓[liú​máng]; common people
氕	piē	protium 1H	protium 1H; light hydrogen, the most common isotope of hydrogen, having no neutron, so atomic weight 1
氖	nǎi	neon	neon (chemistry)
気	qì	Japanese variant of 氣|气	Japanese variant of 氣|气
氘	dāo	deuterium 2H	deuterium 2H; heavy hydrogen, isotope of hydrogen having 1 neutron in its nucleus, so atomic weight 2
氙	xiān	xenon	xenon (chemistry)
氚	chuān	tritium 3H	tritium 3H; radioactive isotope of hydrogen having 2 neutrons in its nucleus, so atomic weight 3
氛	fēn	miasma, vapor	miasma; vapor
氜	rì; yáng	old name for 氦 , helium	old name for 氦[hài], helium; old variant of 陽|阳[yáng]
氝	nèi	neon Ne chemistry now written	neon Ne (chemistry) (now written 氖[nǎi])
氟	fú	fluorine	fluorine (chemistry)
氠	shēn	xenon	xenon (chemistry) (old)
氡	dōng	radon	radon (chemistry)
气	qì	gas, air, to annoy, smell	gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi
氤	yīn	generative forces	generative forces; magic emanation
氥	xī	xenon	xenon (chemistry) (old)
氦	hài	helium	helium (chemistry)
氧	yǎng	oxygen	oxygen (chemistry)
氨	ān	ammonia	ammonia
氪	kè	krypton	krypton (chemistry)
氢	qīng	hydrogen	hydrogen (chemistry)
氩	yà	argon	argon (chemistry)
氮	dàn	nitrogen	nitrogen (chemistry)
氯	lǜ	chlorine	chlorine (chemistry)
氰	qíng	cyanogen 2, ethanedinitrile	cyanogen (CN)2; ethanedinitrile; Taiwan pr. [qīng]
氲	yūn	heavy atmosphere	heavy atmosphere
水	shuǐ; Shuǐ	water, river, liquid, beverage	water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; surname Shui
氵	shuǐ	"water" radical in Chinese	"water" radical in Chinese characters (Kangxi radical 85), occurring in 没, 法, 流 etc; see also 三點水|三点水[sān​diǎn​shuǐ]
永	yǒng	forever, always, perpetual	forever; always; perpetual
氹	dàng	variant of 凼	variant of 凼[dàng]
氺	shuǐ	archaic variant of 水	archaic variant of 水[shuǐ]
氼	nì	old variant of 溺	old variant of 溺[nì]
氽	tǔn	to float, to deep-fry	to float; to deep-fry
泛	fàn	to float, to be suffused with	to float; to be suffused with; general; extensive; non-specific; flood; pan- (prefix); variant of 泛[fàn]
氿	guǐ	mountain spring	mountain spring
汀	tīng	sandbar, shoal, sandbank	sandbar; shoal; sandbank
汁	zhī	juice	juice
求	qiú	to seek, to request	to seek; to look for; to request; to demand; to beseech
汅	miǎn	old variant of 沔	old variant of 沔[miǎn]
汆	cuān	to boil for a short time	quick-boil; to boil for a short time
汈	diāo	used in place names	(used in place names)
汊	chà	branching stream	branching stream
汋	zhuó	to pour	to pour
汍	wán	shed tears	shed tears
汏	dà	to wash	to wash (dialect)
汐	xī	night tides, evening ebbtide	night tides; evening ebbtide; Taiwan pr. [xì]
汔	qì	near	near
汕	shàn	bamboo fish trap	bamboo fish trap; used in names of places connected with Shantou 汕頭|汕头[Shàn​tóu]
汗	hàn; hán	perspiration, sweat	perspiration; sweat; CL:滴[dī],頭|头[tóu],身[shēn]; to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); see 可汗[kè​hán], 汗國|汗国[hán​guó]
汙	wū	dirty, to smear, filthy	variant of 污; dirty; filthy; foul; corrupt; to smear; to defile; dirt; filth
污	wū	dirty, to smear, filthy	dirty; filthy; foul; corrupt; to smear; to defile; dirt; filth; variant of 污[wū]
汛	xùn	flood, high water	high water; flood; to sprinkle water
汜	sì	stream which returns after	stream which returns after branching
汝	rǔ	thou	thou
汞	gǒng; hòng	mercury, sound of a bell	mercury (chemistry); variant of 汞[gǒng]; sound of a bell
江	jiāng; Jiāng	river	river; CL:條|条[tiáo],道[dào]; surname Jiang
池	chí; Chí	pond, reservoir, moat	pond; reservoir; moat; surname Chi
汧	qiān; Qiān	marsh, float	marsh; float; name of a river flowing through Gansu to Shaanxi Province
汨	Mì	name of a river, the southern	name of a river, the southern tributary of Miluo river 汨羅江|汨罗江[Mì​luó​jiāng]
汩	gǔ	confused, extinguished	confused; extinguished
汪	wāng; Wāng	ooze, bark, expanse of water	expanse of water; ooze; (onom.) bark; classifier for liquids: pool, puddle; surname Wang
汫	jǐng	old variant of 阱	old variant of 阱[jǐng]; see 汫濙[jǐng​yíng]
汭	ruì	river-bend	river-bend
汰	tài	to discard, to eliminate	to discard; to eliminate
汲	Jí; jí	to draw	surname Ji; to draw (water)
汳	Biàn	name of an ancient river in	name of an ancient river in Henan
汴	Biàn	Henan	name of a river in Henan; Henan
